iter	Passed	Remaining
882	1098	145
883	1099	144
884	1101	143
885	1102	141
886	1104	140
887	1106	139
888	1107	138
889	1108	137
890	1109	135
891	1110	134
892	1111	133
893	1113	131
894	1114	130
895	1114	129
896	1116	128
897	1117	126
898	1120	125
899	1121	124
900	1122	123
901	1123	122
902	1124	120
903	1125	119
904	1126	118
905	1127	116
906	1128	115
907	1129	114
908	1130	113
909	1131	111
910	1132	110
911	1136	109
912	1137	108
913	1138	107
914	1139	105
915	1140	104
916	1141	103
917	1142	102
918	1143	100
919	1144	99
920	1145	98
921	1146	96
922	1147	95
923	1147	94
924	1151	93
925	1152	92
926	1153	90
927	1154	89
928	1155	88
929	1156	87
930	1157	85
931	1159	84
932	1160	83
933	1161	82
934	1162	80
935	1163	79
936	1166	78
937	1167	77
938	1168	75
939	1169	74
940	1170	73
941	1171	72
942	1172	70
943	1173	69
944	1174	68
945	1175	67
946	1176	65
947	1177	64
948	1178	63
949	1188	62
950	1189	61
951	1190	60
952	1191	58
953	1192	57
954	1193	56
955	1197	55
956	1198	53
957	1199	52
958	1201	51
959	1202	50
960	1203	48
961	1204	47
962	1206	46
963	1207	45
964	1209	43
965	1214	42
966	1215	41
967	1216	40
968	1218	38
969	1219	37
970	1220	36
971	1221	35
972	1222	33
973	1223	32
974	1227	31
975	1229	30
976	1230	28
977	1231	27
978	1232	26
979	1233	25
980	1234	23
981	1235	22
982	1236	21
983	1237	20
984	1239	18
985	1240	17
986	1242	16
987	1243	15
988	1244	13
989	1245	12
990	1246	11
991	1247	10
992	1248	8
993	1249	7
994	1250	6
995	1251	5
996	1252	3
997	1253	2
998	1254	1
999	1258	0
